CIK,"('exchange_and_symbol', 'variation_0')",stock_price_at_prediction_date,date
21175,NYSE:CNA,40.27,2021-01-01
21344,NYSE:KO,49.96,2021-01-01
21510,NASDAQ:COHR,0,2021-01-01
21535,Nasdaq:COHU,42.5,2021-01-01
21665,NYSE:CL,81.8,2021-01-01
22105,,0,2021-01-01
22252,NASDAQ:CMRO,0,2021-01-01
22301,NYSE:CCZ,0,2021-01-01
22356,Nasdaq:CBSH,61,2021-01-01
22444,NYSE:CMC,23.2,2021-01-01
22551,,0,2021-01-01
22701,Nasdaq:PEGY,286.8,2021-01-01
22912,,0,2021-01-01
23082,NYSE:CSC,0,2021-01-01
23111,Nasdaq:CTG,0,2021-01-01
23194,NYSE:CRK,4.96,2021-01-01
23197,Nasdaq:CMTL,22.09,2021-01-01
23217,NYSE:CAG,33.78,2021-01-01
23666,NYSE:HSH,0,2021-01-01
23675,NYSE:CNW,0,2021-01-01
23795,NYSE:CTO,14.07,2021-01-01
24090,NYSE:CIA,6.13,2021-01-01
24104,NYSE:CUO,0,2021-01-01
24545,NYSE:TAP,49.15,2021-01-01
24741,NYSE:GLW,36.98,2021-01-01
25212,NASDAQ:CRRC,0,2021-01-01
25232,NYSE:CUZ,31.8,2021-01-01
25445,NYSE:CR,28.81,2021-01-01
25475,,0,2021-01-01
25743,Nasdaq:TXMD,67,2021-01-01
25793,NASDAQ:ATX,0,2021-01-01
25895,Nasdaq:CRWS,7.46,2021-01-01
26058,NYSE:CTS,37,2021-01-01
26076,NYSE:CUB,0,2021-01-01
26172,NYSE:CMI,239.21,2021-01-01
26324,NYSE:CW,117.49,2021-01-01
26537,NYSE:STST,0,2021-01-01
26780,NYSE:DAN,22.36,2021-01-01
27048,NYSE:DST,0,2021-01-01
27093,Nasdaq:USAU,15.52,2021-01-01
27367,Nasdaq:DXR,12.22,2021-01-01
27419,NYSE:TGT,191.1,2021-01-01
27904,NYSE:DAL,40.23,2021-01-01
27960,,0,2021-01-01
27996,NYSE:DLX,32.61,2021-01-01
28412,NYSE:CMA,62.34,2021-01-01
28630,NYSE:DRS,0,2021-01-01
28917,NYSE:DDS,57.14,2021-01-01
29002,Nasdaq:DIOD,79.09,2021-01-01
29332,Nasdaq:DXYN,2.82,2021-01-01
29534,NYSE:DG,217.72,2021-01-01
29644,NYSE:DCI,59.31,2021-01-01
29669,NASDAQ:RRD,0,2021-01-01
29806,,0,2021-01-01
29834,NASDAQ:ESCRP,0,2021-01-01
29905,NYSE:DOV,129.45,2021-01-01
29989,NYSE:OMC,63.97,2021-01-01
30125,NYSE:INSI,20.68,2021-01-01
30305,NYSE:DCO,55.45,2021-01-01
30371,NYSE:DUKH,0,2021-01-01
30554,,0,2021-01-01
30625,NYSE:FLS,37.73,2021-01-01
30697,Nasdaq:WEN,21.11,2021-01-01
