CIK,"('exchange_and_symbol', 'variation_0')",stock_price_at_prediction_date,date
21175,NYSE:CNA,44.94,2021-04-01
21344,NYSE:KO,51,2021-04-01
21510,NASDAQ:COHR,0,2021-04-01
21535,Nasdaq:COHU,43.88,2021-04-01
21665,NYSE:CL,75.77,2021-04-01
22105,,0,2021-04-01
22252,NASDAQ:CMRO,0,2021-04-01
22301,NYSE:CCZ,0,2021-04-01
22356,Nasdaq:CBSH,66.4,2021-04-01
22444,NYSE:CMC,28.37,2021-04-01
22551,,0,2021-04-01
22701,Nasdaq:PEGY,381,2021-04-01
22912,,0,2021-04-01
23082,NYSE:CSC,0,2021-04-01
23111,Nasdaq:CTG,0,2021-04-01
23194,NYSE:CRK,5.59,2021-04-01
23197,Nasdaq:CMTL,27.26,2021-04-01
23217,NYSE:CAG,38.27,2021-04-01
23666,NYSE:HSH,0,2021-04-01
23675,NYSE:CNW,0,2021-04-01
23795,NYSE:CTO,16.8,2021-04-01
24090,NYSE:CIA,6.16,2021-04-01
24104,NYSE:CUO,0,2021-04-01
24545,NYSE:TAP,49.85,2021-04-01
24741,NYSE:GLW,40.97,2021-04-01
25212,NASDAQ:CRRC,0,2021-04-01
25232,NYSE:CUZ,34.93,2021-04-01
25445,NYSE:CR,92.61,2021-04-01
25475,,0,2021-04-01
25743,Nasdaq:TXMD,76,2021-04-01
25793,NASDAQ:ATX,0,2021-04-01
25895,Nasdaq:CRWS,7.87,2021-04-01
26058,NYSE:CTS,32.03,2021-04-01
26076,NYSE:CUB,0,2021-04-01
26172,NYSE:CMI,263.48,2021-04-01
26324,NYSE:CW,117.19,2021-04-01
26537,NYSE:STST,0,2021-04-01
26780,NYSE:DAN,24.53,2021-04-01
27048,NYSE:DST,0,2021-04-01
27093,Nasdaq:USAU,11.26,2021-04-01
27367,Nasdaq:DXR,12.94,2021-04-01
27419,NYSE:TGT,188.04,2021-04-01
27904,NYSE:DAL,47.97,2021-04-01
27960,,0,2021-04-01
27996,NYSE:DLX,40.72,2021-04-01
28412,NYSE:CMA,67.88,2021-04-01
28630,NYSE:DRS,0,2021-04-01
28917,NYSE:DDS,90.56,2021-04-01
29002,Nasdaq:DIOD,90.86,2021-04-01
29332,Nasdaq:DXYN,3.64,2021-04-01
29534,NYSE:DG,193.96,2021-04-01
29644,NYSE:DCI,59.29,2021-04-01
29669,NASDAQ:RRD,0,2021-04-01
29806,,0,2021-04-01
29834,NASDAQ:ESCRP,0,2021-04-01
29905,NYSE:DOV,136.44,2021-04-01
29989,NYSE:OMC,77.15,2021-04-01
30125,NYSE:INSI,20.27,2021-04-01
30305,NYSE:DCO,56.54,2021-04-01
30371,NYSE:DUKH,0,2021-04-01
30554,,0,2021-04-01
30625,NYSE:FLS,39.46,2021-04-01
30697,Nasdaq:WEN,20.72,2021-04-01
30828,NASDAQ:COBR,0,2021-04-01
30831,,0,2021-04-01
31107,Nasdaq:EML,26.02,2021-04-01
31235,NYSE:KODK,8.24,2021-04-01
31347,NASDAQ:ELON,0,2021-04-01
31462,NYSE:ECL,208.07,2021-04-01
31667,Nasdaq:EDUC,17.9,2021-04-01
