CIK,"('exchange_and_symbol', 'variation_0')",stock_price_at_prediction_date
20,NASDAQ:KTII,0
1750,NYSE:AIR,61.74
1800,NYSE:ABT,101
2034,NASDAQ:ACETQ,0
2098,AMEX:ACU,0
2135,NYSE:ACS,0
2178,AMEX:AE,0
2186,AMEX:BKTI,0
2230,NYSE:ADX,17.26
2488,Nasdaq:AMD,102.37
2491,NYSE:BYI,0
2646,,0
2809,NYSE:AEM,49.79
2969,NYSE:APD,299.53
3116,,0
3153,,0
3197,Nasdaq:CECO,16.22
3370,NYSE:IKN,0
3453,NYSE:ALEX,87.1
3499,NYSE:ALX,196.13
3545,Nasdaq:ALCO,25.62
3570,NYSE:LNG,163.35
3673,NYSE:AYE,0
3845,NYSE:AFC,0
3982,NYSE:ALY,0
4127,Nasdaq:SWKS,98.5
4187,NASDAQ:IDSA,0
4281,NYSE:HWM,47.09
4317,,0
4447,NYSE:HES,162.6
4457,NYSE:UHAL,57.57
4904,Nasdaq:AEP,80.23
4962,NYSE:AXP,159.63
4977,NYSE:AFL,76.92
5094,NYSE:VBF,14.79
5272,NYSE:AIG,61.68
5513,NYSE:UNM,48.44
5768,NASDAQ:ASEI,0
5981,NYSE:AVD,12.34
6176,NYSE:AP,2.8
6201,Nasdaq:AAL,13.11
6207,NYSE:AXR,17.67
6281,Nasdaq:ADI,179.72
6284,NASDAQ:ALOG,0
6845,Nasdaq:APOG,49.31
6885,NYSE:SSI,0
6951,Nasdaq:AMAT,140.27
6955,NYSE:EPAC,27.08
7032,,0
7039,NYSE:TREC,0
7084,NYSE:ADM,79.19
7323,NYSE:EAI,0
7332,NYSE:SWN,6.34
7431,NYSE:AWI,73.44
7536,NYSE:ARW,127.26
7623,Nasdaq:ARTW,2.42
7789,NYSE:ASB,17.4
8063,Nasdaq:ATRO,16.66
8146,Nasdaq:ALOT,13.05
8177,Nasdaq:AAME,1.94
8302,NYSE:ATCO,0
8411,NYSE:ATW,0
8504,NYSE:ENRJ,0
8670,Nasdaq:ADP,247.28
8818,NYSE:AVY,182
8858,Nasdaq:AVT,47.76
8868,NYSE:AVP,0
8947,NYSE:AZZ,47.25
9092,NYSE:BMI,161.67
9326,Nasdaq:BCPC,130.76
9346,NASDAQ:PTVCA,0
9389,NYSE:BALL,51.46
9521,AMEX:BCV,0
9622,NASDAQ:BMLP,0
9631,NYSE:BNS,48.46
9984,NYSE:B,36.3
10048,AMEX:BRN,0
10081,NYSE:BRL,0
10254,NYSE:ESTE,0
10329,Nasdaq:BSET,14.38
10456,NYSE:BAX,38.73
10795,NYSE:BDX,264.57
11544,NYSE:WRB,65.01
12040,AMEX:BDL,0
12208,NYSE:BIO,367.72
12239,Nasdaq:DOMH,2.6
12400,NYSE:BKH,55.12
12603,NASDAQ:PY,40.53
12659,NYSE:HRB,40.81
12927,NYSE:BA,205.12
12978,NYSE:OMX,0
13573,,0
14177,Nasdaq:BRID,11
14195,NYSE:BGG,0
14272,NYSE:BMY,58.58
14280,NASDAQ:MSGI,0
14693,NYSE:BFA,65
14707,NYSE:CAL,26.48
14846,NYSE:BRT,18.33
15615,NYSE:MTZ,83.86
16040,NYSE:CBT,69.93
16058,NYSE:CACI,318.66
16099,NYSE:LUB,0
16160,Nasdaq:CALM,46.89
16732,NYSE:CPB,42.72
16859,NYSE:SRL,5.72
16868,NYSE:CNI,115.72
16875,NYSE:CP,79.18
16918,NYSE:STZ,260.69
17313,Nasdaq:CSWC,25.29
17485,NYSE:LBMH,0
17843,NYSE:CRS,67.7
18061,NASDAQ:CASC,0
18169,NYSE:DOLE,11.78
18172,NYSE:CAS,0
18230,NYSE:CAT,280.94
18255,NYSE:CATO,7.37
18349,NYSE:SNV,29.6
18396,NYSE:CDI,0
18498,NYSE:GCO,29.66
18748,AMEX:CET,0
18926,NYSE:LUMN,1.52
19399,NASDAQ:CHFN,0
19411,NASDAQ:MGLN,0
19446,NYSE:CMD,0
19520,NASDAQ:CHTT,0
19584,NYSE:CHE,511.37
19612,NASDAQ:TCFCP,0
19617,NYSE:JPM,149.12
19745,NYSE:CPK,110.28
19871,AMEX:CVR,0
20212,Nasdaq:CHDN,118.94
20232,NASDAQ:CHYR,0
20286,Nasdaq:CINF,108.44
20388,NYSE:CIT,0
20430,,0
20520,Nasdaq:FYBR,14.89
20629,NYSE:CSS,0
20740,NYSE:CLC,0
21076,NYSE:CLX,142.7
21175,NYSE:CNA,40.2
21344,NYSE:KO,58.3
21510,NASDAQ:COHR,0
21535,Nasdaq:COHU,34.79
21665,NYSE:CL,73.85
22105,,0
22252,NASDAQ:CMRO,0
22301,NYSE:CCZ,54.95
22356,Nasdaq:CBSH,45.68
22444,NYSE:CMC,51.71
22551,,0
22701,Nasdaq:PEGY,14.66
22912,,0
23082,NYSE:CSC,0
23111,Nasdaq:CTG,0
23194,NYSE:CRK,11.38
23197,Nasdaq:CMTL,8.61
23217,NYSE:CAG,28.72
23666,NYSE:HSH,0
23675,NYSE:CNW,0
23795,NYSE:CTO,16.67
24090,NYSE:CIA,3.1
24104,NYSE:CUO,0
24545,NYSE:TAP,64.42
24741,NYSE:GLW,31.57
25212,NASDAQ:CRRC,0
25232,NYSE:CUZ,22.36
25445,NYSE:CR,87.41
25475,,0
25743,Nasdaq:TXMD,3.42
25793,NASDAQ:ATX,0
25895,Nasdaq:CRWS,5.02
26058,NYSE:CTS,42.33
26076,NYSE:CUB,0
26172,NYSE:CMI,238.34
26324,NYSE:CW,204.78
26537,NYSE:STST,0
26780,NYSE:DAN,15
27048,NYSE:DST,0
27093,Nasdaq:USAU,3.9
