CIK,"('exchange_and_symbol', 'variation_0')",stock_price_at_prediction_date
20,NASDAQ:KTII,0
1750,NYSE:AIR,39.69
1800,NYSE:ABT,104.09
2034,NASDAQ:ACETQ,0
2098,AMEX:ACU,0
2135,NYSE:ACS,0
2178,AMEX:AE,0
2186,AMEX:BKTI,0
2230,NYSE:ADX,15.79
2488,Nasdaq:AMD,76.77
2491,NYSE:BYI,0
2646,,0
2809,NYSE:AEM,41.9
2969,NYSE:APD,249.38
3116,,0
3153,,0
3197,Nasdaq:CECO,9.54
3370,NYSE:IKN,0
3453,NYSE:ALEX,68.21
3499,NYSE:ALX,229.72
3545,Nasdaq:ALCO,32.53
3570,NYSE:LNG,168.5
3673,NYSE:AYE,0
3845,NYSE:AFC,0
3982,NYSE:ALY,0
4127,Nasdaq:SWKS,99.84
4187,NASDAQ:IDSA,0
4281,NYSE:HWM,34.22
4317,,0
4447,NYSE:HES,120.27
4457,NYSE:UHAL,53.83
4904,Nasdaq:AEP,101.11
4962,NYSE:AXP,155.36
4977,NYSE:AFL,60.37
5094,NYSE:VBF,15.58
5272,NYSE:AIG,54.59
5513,NYSE:UNM,40.9
5768,NASDAQ:ASEI,0
5981,NYSE:AVD,19.76
6176,NYSE:AP,4.12
6201,Nasdaq:AAL,14.21
6207,NYSE:AXR,12.74
6281,Nasdaq:ADI,149.61
6284,NASDAQ:ALOG,0
6845,Nasdaq:APOG,39.35
6885,NYSE:SSI,0
6951,Nasdaq:AMAT,89.72
6955,NYSE:EPAC,17.6
7032,,0
7039,NYSE:TREC,0
7084,NYSE:ADM,87.33
7323,NYSE:EAI,0
7332,NYSE:SWN,7.25
7431,NYSE:AWI,84.43
7536,NYSE:ARW,97.4
7623,Nasdaq:ARTW,2.15
7789,NYSE:ASB,21.11
8063,Nasdaq:ATRO,8.32
8146,Nasdaq:ALOT,12.25
8177,Nasdaq:AAME,3.04
8302,NYSE:ATCO,0
8411,NYSE:ATW,0
8504,NYSE:ENRJ,0
8670,Nasdaq:ADP,235.72
8818,NYSE:AVY,179.24
8858,Nasdaq:AVT,38.33
8868,NYSE:AVP,0
8947,NYSE:AZZ,40.53
9092,NYSE:BMI,95.21
9326,Nasdaq:BCPC,125.96
9346,NASDAQ:PTVCA,0
9389,NYSE:BALL,56.99
9521,AMEX:BCV,0
9622,NASDAQ:BMLP,0
9631,NYSE:BNS,54.02
9984,NYSE:B,31.16
10048,AMEX:BRN,0
10081,NYSE:BRL,0
10254,NYSE:ESTE,0
10329,Nasdaq:BSET,18.27
10456,NYSE:BAX,58.43
10795,NYSE:BDX,251.26
11544,NYSE:WRB,67.56
12040,AMEX:BDL,0
12208,NYSE:BIO,445.5
12239,Nasdaq:DOMH,6.91
12400,NYSE:BKH,77.38
12603,NASDAQ:PY,39.81
12659,NYSE:HRB,45.62
12927,NYSE:BA,144.88
12978,NYSE:OMX,0
13573,,0
14177,Nasdaq:BRID,14.75
14195,NYSE:BGG,0
14272,NYSE:BMY,70.19
14280,NASDAQ:MSGI,0
14693,NYSE:BFA,73.15
14707,NYSE:CAL,25.44
14846,NYSE:BRT,22.3
15615,NYSE:MTZ,81.69
16040,NYSE:CBT,72.42
16058,NYSE:CACI,280.14
16099,NYSE:LUB,0
16160,Nasdaq:CALM,57.82
16732,NYSE:CPB,48.05
16859,NYSE:SRL,7.55
16868,NYSE:CNI,117.87
16875,NYSE:CP,74.21
16918,NYSE:STZ,242.26
17313,Nasdaq:CSWC,18.23
17485,NYSE:LBMH,0
17843,NYSE:CRS,37.77
18061,NASDAQ:CASC,0
18169,NYSE:DOLE,8.45
18172,NYSE:CAS,0
18230,NYSE:CAT,182.11
18255,NYSE:CATO,9.56
18349,NYSE:SNV,40.22
18396,NYSE:CDI,0
18498,NYSE:GCO,45.99
18748,AMEX:CET,0
18926,NYSE:LUMN,8.82
19399,NASDAQ:CHFN,0
19411,NASDAQ:MGLN,0
19446,NYSE:CMD,0
19520,NASDAQ:CHTT,0
19584,NYSE:CHE,483.52
19612,NASDAQ:TCFCP,0
19617,NYSE:JPM,118.16
19745,NYSE:CPK,129.22
19871,AMEX:CVR,0
20212,Nasdaq:CHDN,101.73
20232,NASDAQ:CHYR,0
20286,Nasdaq:CINF,99.16
20388,NYSE:CIT,0
20430,,0
20520,Nasdaq:FYBR,24.35
20629,NYSE:CSS,0
20740,NYSE:CLC,0
21076,NYSE:CLX,142.93
21175,NYSE:CNA,39.72
21344,NYSE:KO,59.99
21510,NASDAQ:COHR,0
21535,Nasdaq:COHU,27.49
21665,NYSE:CL,76.01
22105,,0
22252,NASDAQ:CMRO,0
22301,NYSE:CCZ,61
22356,Nasdaq:CBSH,63.95
22444,NYSE:CMC,38.49
22551,,0
22701,Nasdaq:PEGY,31.5
22912,,0
23082,NYSE:CSC,0
23111,Nasdaq:CTG,0
23194,NYSE:CRK,19.05
23197,Nasdaq:CMTL,11.32
23217,NYSE:CAG,34.24
23666,NYSE:HSH,0
23675,NYSE:CNW,0
23795,NYSE:CTO,20.45
24090,NYSE:CIA,3.51
24104,NYSE:CUO,0
24545,NYSE:TAP,51.11
24741,NYSE:GLW,32.37
25212,NASDAQ:CRRC,0
25232,NYSE:CUZ,26.91
25445,NYSE:CR,31.82
25475,,0
25743,Nasdaq:TXMD,7.06
25793,NASDAQ:ATX,0
25895,Nasdaq:CRWS,6.14
26058,NYSE:CTS,42.93
26076,NYSE:CUB,0
26172,NYSE:CMI,215.11
26324,NYSE:CW,146.07
26537,NYSE:STST,0
26780,NYSE:DAN,14.87
27048,NYSE:DST,0
27093,Nasdaq:USAU,4.5
27367,Nasdaq:DXR,13.25
27419,NYSE:TGT,164.76
27904,NYSE:DAL,32.94
27960,,0
27996,NYSE:DLX,17.99
28412,NYSE:CMA,79.35
28630,NYSE:DRS,0
28917,NYSE:DDS,301.16
29002,Nasdaq:DIOD,66.78
29332,Nasdaq:DXYN,1.32
29534,NYSE:DG,245.61
29644,NYSE:DCI,52.4
29669,NASDAQ:RRD,0
29806,,0
29834,NASDAQ:ESCRP,0
29905,NYSE:DOV,125.02
29989,NYSE:OMC,68
30125,NYSE:INSI,15.82
30167,,0
30305,NYSE:DCO,42.23
30371,NYSE:DUKH,0
30554,,0
30625,NYSE:FLS,27.68
30697,Nasdaq:WEN,20.02
30828,NASDAQ:COBR,0
30831,,0
31107,Nasdaq:EML,18.66
31235,NYSE:KODK,5.18
31347,NASDAQ:ELON,0
31462,NYSE:ECL,159.8
31667,Nasdaq:EDUC,2.79
