CIK,,,,,,,
320193,,,,,,,
796343,,,,,,,
6281,,,,,,,
8670,,,,,,,
769397,,,,,,,
4904,,,,,,,
1097149,,,,,,,
899866,,,,,,,
6951,,,,,,,
2488,,,,,,,
318154,,,,,,,
1018724,,,,,,,
1013462,,,,,,,
937966,,,,,,,
718877,,,,,,,
1730168,,,,,,,
1329099,,,,,,,
875045,,,,,,,
1075531,,,,,,,
813672,,,,,,,
1402057,,,,,,,
804753,,,,,,,
1015922,,,,,,,
1091667,,,,,,,
22301,,,,,,,
909832,,,,,,,
900075,,,,,,,
858877,,,,,,,
277948,,,,,,,
723254,,,,,,,
1058290,,,,,,,
935703,,,,,,,
1261333,,,,,,,
1093557,,,,,,,
712515,,,,,,,
1065088,,,,,,,
1109357,,,,,,,
815556,,,,,,,
798354,,,,,,,
1754301,,,,,,,
882095,,,,,,,
1652044,,,,,,,
874716,,,,,,,
1110803,,,,,,,
879169,,,,,,,
50863,,,,,,,
896878,,,,,,,
1035267,,,,,,,
1549802,,,,,,,
1418135,,,,,,,
1637459,,,,,,,
319201,,,,,,,
707549,,,,,,,
1397187,,,,,,,
1048286,,,,,,,
827054,,,,,,,
1103982,,,,,,,
1099590,,,,,,,
1326801,,,,,,,
865752,,,,,,,
1682852,,,,,,,
1835632,,,,,,,
789019,,,,,,,
891103,,,,,,,
723125,,,,,,,
743316,,,,,,,
1065280,,,,,,,
1110646,,,,,,,
1045810,,,,,,,
1413447,,,,,,,
1660134,,,,,,,
898173,,,,,,,
723531,,,,,,,
75362,,,,,,,
1737806,,,,,,,
77476,,,,,,,
1639825,,,,,,,
1633917,,,,,,,
804328,,,,,,,
872589,,,,,,,
745732,,,,,,,
829224,,,,,,,
1060736,,,,,,,
908937,,,,,,,
883241,,,,,,,
1353283,,,,,,,
4127,,,,,,,
1269238,,,,,,,
1650372,,,,,,,
1283699,,,,,,,
1318605,,,,,,,
97476,,,,,,,
1442145,,,,,,,
1014473,,,,,,,
875320,,,,,,,
1618921,,,,,,,
1327811,,,,,,,
72903,,,,,,,
743988,,,,,,,
1585521,,,,,,,
,,,,,,,
