CIK
320193
1559720
796343
6281
8670
769397
4904
1097149
6951
2488
318154
1018724
1013462
937966
1671933
1730168
901832
875045
1701605
1166691
813672
1868275
1091667
909832
900075
1535527
858877
1057352
277948
723254
1058290
1561550
935703
1418135
1093557
712515
1065088
1463101
1109357
1539838
815556
1932393
1262039
1709048
882095
1652044
773840
874716
1110803
50863
896878
1035267
1549802
1637459
319201
1811210
707549
1397187
1048286
827054
1103982
1099590
1326801
865752
1682852
1835632
789019
723125
1065280
1045810
1413447
878927
898173
1327567
723531
75362
1075531
1737806
77476
1633917
804328
872589
1097864
745732
829224
1060736
908937
883241
1650372
1283699
1318605
97476
1442145
875320
1618921
1437107
1327811
72903
1585521
1713683
