CIK,"('exchange_and_symbol', 'variation_0')",market_cap_at_prediction_date
20,NASDAQ:KTII,
1750,NYSE:AIR,1242890999
1800,NYSE:ABT,238115814411
2034,NASDAQ:ACETQ,
2098,AMEX:ACU,118726555
2135,NYSE:ACS,
2178,AMEX:AE,69624003
2186,AMEX:BKTI,125504635
2230,NYSE:ADX,2020087696
2488,Nasdaq:AMD,164046400000
2491,NYSE:BYI,
2646,,
2809,NYSE:AEM,12538776600
2969,NYSE:APD,65462719000
3116,,
3153,,
3197,Nasdaq:CECO,208504374
3370,NYSE:IKN,
3453,NYSE:ALEX,3380772000
3499,NYSE:ALX,1281939416
3545,Nasdaq:ALCO,265684099
3570,NYSE:LNG,25644032000
3673,NYSE:AYE,
3845,NYSE:AFC,
3982,NYSE:ALY,
4127,Nasdaq:SWKS,24750141000
4187,NASDAQ:IDSA,
4281,NYSE:HWM,12581800000
4317,,
4447,NYSE:HES,22047645754
4457,NYSE:UHAL,13807216075
4904,Nasdaq:AEP,43722613906
4962,NYSE:AXP,122997209999
4977,NYSE:AFL,37291437120
5094,NYSE:VBF,221630510
5272,NYSE:AIG,45119810065
5513,NYSE:UNM,4618852308
5768,NASDAQ:ASEI,
5981,NYSE:AVD,438216720
6176,NYSE:AP,83436410
6201,Nasdaq:AAL,11223651800
6207,NYSE:AXR,135773720
6281,Nasdaq:ADI,88416981120
6284,NASDAQ:ALOG,
6845,Nasdaq:APOG,1047885999
6885,NYSE:SSI,
6951,Nasdaq:AMAT,128913889999
6955,NYSE:EPAC,1320663690
7032,,
7039,NYSE:TREC,194731152
7084,NYSE:ADM,36220080000
7323,NYSE:EAI,22053212277
7332,NYSE:SWN,3442907903
7431,NYSE:AWI,5180839733
7536,NYSE:ARW,8585297080
7623,Nasdaq:ARTW,15445653
7789,NYSE:ASB,3240111770
8063,Nasdaq:ATRO,338123200
8146,Nasdaq:ALOT,93691000
8177,Nasdaq:AAME,63613680
8302,NYSE:ATCO,0
8411,NYSE:ATW,
8504,NYSE:ENRJ,
8670,Nasdaq:ADP,96285328000
8818,NYSE:AVY,16717792768
8858,Nasdaq:AVT,3718651599
8868,NYSE:AVP,
8947,NYSE:AZZ,1289703182
9092,NYSE:BMI,2961743575
9326,Nasdaq:BCPC,5322859549
9346,NASDAQ:PTVCA,
9389,NYSE:BALL,29339010000
9521,AMEX:BCV,133536248
9622,NASDAQ:BMLP,0
9631,NYSE:BNS,81245990000
9984,NYSE:B,2220990402
10048,AMEX:BRN,23048950
10081,NYSE:BRL,
10254,NYSE:ESTE,458491894
10329,Nasdaq:BSET,160882128
10456,NYSE:BAX,41420020000
10795,NYSE:BDX,71857340850
11544,NYSE:WRB,14565075000
12040,AMEX:BDL,56409936
12208,NYSE:BIO,21733971670
12239,Nasdaq:DOMH,58040732
12400,NYSE:BKH,
12603,NASDAQ:PY,0
12659,NYSE:HRB,3955920142
12927,NYSE:BA,110768246211
12978,NYSE:OMX,
13573,,
14177,Nasdaq:BRID,105155098
14195,NYSE:BGG,
14272,NYSE:BMY,132883160000
14280,NASDAQ:MSGI,
14693,NYSE:BFA,34494230131
14707,NYSE:CAL,769124879
14846,NYSE:BRT,332015131
15615,NYSE:MTZ,6362898100
16040,NYSE:CBT,2937067384
16058,NYSE:CACI,5993185870
16099,NYSE:LUB,87163952
16160,Nasdaq:CALM,1765273460
16732,NYSE:CPB,13052440000
16859,NYSE:SRL,128954009
16868,NYSE:CNI,83668400105
16875,NYSE:CP,51099792000
16918,NYSE:STZ,45457666900
17313,Nasdaq:CSWC,567770008
17485,NYSE:LBMH,
17843,NYSE:CRS,1392390000
18061,NASDAQ:CASC,
18169,NYSE:DOLE,
18172,NYSE:CAS,
18230,NYSE:CAT,105294302000
18255,NYSE:CATO,332065263
18349,NYSE:SNV,6538913270
18396,NYSE:CDI,
18498,NYSE:GCO,802711340
18748,AMEX:CET,1049304906
18926,NYSE:LUMN,13223071680
19399,NASDAQ:CHFN,
19411,NASDAQ:MGLN,2485750240
19446,NYSE:CMD,
19520,NASDAQ:CHTT,
19584,NYSE:CHE,7763066320
19612,NASDAQ:TCFCP,
19617,NYSE:JPM,49616850000
19745,NYSE:CPK,2474986674
19871,AMEX:CVR,24781285
20212,Nasdaq:CHDN,8407616000
20232,NASDAQ:CHYR,
20286,Nasdaq:CINF,17693074415
20388,NYSE:CIT,
20430,,
20520,Nasdaq:FYBR,7094704320
20629,NYSE:CSS,
20740,NYSE:CLC,
21076,NYSE:CLX,21733102400
21175,NYSE:CNA,11527038000
21344,NYSE:KO,248630340000
21510,NASDAQ:COHR,27691314300
21535,Nasdaq:COHU,1702931280
21665,NYSE:CL,69729400000
22105,,
22252,NASDAQ:CMRO,
22301,NYSE:CCZ,
22356,Nasdaq:CBSH,8068174782
22444,NYSE:CMC,4036055853
22551,,
22701,Nasdaq:PEGY,69597084
22912,,
23082,NYSE:CSC,
23111,Nasdaq:CTG,136434920
23194,NYSE:CRK,1906809840
23197,Nasdaq:CMTL,620746740
23217,NYSE:CAG,16483896000
23666,NYSE:HSH,
23675,NYSE:CNW,
23795,NYSE:CTO,325975214
24090,NYSE:CIA,277359997
24104,NYSE:CUO,
24545,NYSE:TAP,9417798000
24741,NYSE:GLW,29890800000
25212,NASDAQ:CRRC,
25232,NYSE:CUZ,5608511360
25445,NYSE:CR,1864863000
25475,,
25743,Nasdaq:TXMD,8794122120
25793,NASDAQ:ATX,
25895,Nasdaq:CRWS,70344440
26058,NYSE:CTS,1104936860
26076,NYSE:CUB,
26172,NYSE:CMI,29930754000
26324,NYSE:CW,5263910080
26537,NYSE:STST,
26780,NYSE:DAN,3048040000
27048,NYSE:DST,
27093,Nasdaq:USAU,60606014
27367,Nasdaq:DXR,44403260
27419,NYSE:TGT,106986639000
27904,NYSE:DAL,23167690000
27960,,
27996,NYSE:DLX,1287443640
28412,NYSE:CMA,11055150000
28630,NYSE:DRS,
28917,NYSE:DDS,682291600
29002,Nasdaq:DIOD,4522958460
29332,Nasdaq:DXYN,82895960
29534,NYSE:DG,50929811820
29644,NYSE:DCI,6902469000
29669,NASDAQ:RRD,780861816
29806,,
29834,NASDAQ:ESCRP,
29905,NYSE:DOV,24256202200
29989,NYSE:OMC,14951611999
30125,NYSE:INSI,239873553
30167,,
30305,NYSE:DCO,512798400
30371,NYSE:DUKH,
30554,,
30625,NYSE:FLS,3757568250
30697,Nasdaq:WEN,5020785000
30828,NASDAQ:COBR,
30831,,
31107,Nasdaq:EML,158939153
31235,NYSE:KODK,390642000
31347,NASDAQ:ELON,
31462,NYSE:ECL,64136926000
31667,Nasdaq:EDUC,67213087
31791,NYSE:PKI,
31978,NYSE:EE,
32020,,
32166,NASDAQ:ELRC,
32604,NYSE:EMR,53192916000
32621,AMEX:MSN,17044830
32689,NYSE:EDE,
32878,NASDAQ:ENERQ,
33002,NYSE:EBF,497709575
33185,NYSE:EFX,33668340000
33213,NYSE:EQT,6867915000
33488,Nasdaq:ESCA,209609400
33523,,
33533,AMEX:ESP,31876832
33619,NYSE:ESL,
33769,NASDAQ:BOBE,
33934,AMEX:CRF,585788810
33992,Nasdaq:KINS,49144815
34067,Nasdaq:BOOM,639973237
34088,NYSE:XOM,252283269235
34151,NYSE:JAS,
34349,,
34408,NYSE:FDO,
34489,,
34563,Nasdaq:FARM,115517243
34782,Nasdaq:SRCE,1162952018
34903,NYSE:FRT,9869620320
34956,Nasdaq:TENX,559469126
35214,NYSE:FOE,1789716036
35527,Nasdaq:FITB,28347076600
36029,Nasdaq:FFIN,7006515578
36032,NYSE:RF,
36047,NYSE:CLGX,
36104,Nasdaq:FRBA,81701430000
36146,Nasdaq:TRMK,1962125000
36270,NYSE:MTB,18642297887
36377,NASDAQ:FHB,3298360753
36966,NYSE:FHN,8183880000
37008,NYSE:FUR,
37039,,
37049,NYSE:FWV,
37472,Nasdaq:FLXS,157762020
37643,NASDAQ:FPU,
37748,NYSE:FLR,3330252600
37785,NYSE:FMC,12943584000
