CIK,"('exchange_and_symbol', 'variation_0')",market_cap_at_prediction_date
2488,Nasdaq:AMD,191715160000
4904,Nasdaq:AEP,43468493821
6281,Nasdaq:ADI,94876325700
6951,Nasdaq:AMAT,116772360000
8670,Nasdaq:ADP,91002690400
50863,Nasdaq:INTC,145985000000
72903,Nasdaq:XEL,34710971800
75362,Nasdaq:PCAR,40712595000
77476,Nasdaq:PEP,255357180000
97476,Nasdaq:TXN,158318880000
277948,Nasdaq:CSX,67597139999
318154,Nasdaq:AMGN,122067060000
319201,Nasdaq:KLAC,64031399250
320193,Nasdaq:AAPL,2904215566140
707549,Nasdaq:LRCX,82881114720
712515,Nasdaq:EA,35015570000
718877,Nasdaq:ATVI,64283650000
723125,Nasdaq:MU,72987900000
723254,Nasdaq:CTAS,49283098500
723531,Nasdaq:PAYX,40462520000
745732,Nasdaq:ROST,36265896720
769397,Nasdaq:ADSK,45577850000
773840,Nasdaq:HON,133401610700
789019,Nasdaq:MSFT,2513566583200
796343,Nasdaq:ADBE,221552160000
804328,Nasdaq:QCOM,133719120000
813672,Nasdaq:CDNS,62667067530
815556,Nasdaq:FAST,32398575000
827054,Nasdaq:MCHP,46448256000
829224,Nasdaq:SBUX,116156690000
858877,Nasdaq:CSCO,210787950000
865752,Nasdaq:MNST,60980889240
872589,Nasdaq:REGN,83667591000
874716,Nasdaq:IDXX,40020402240
875045,Nasdaq:BIIB,42423276000
875320,Nasdaq:VRTX,88260357800
878927,Nasdaq:ODFL,35113527810
882095,Nasdaq:GILD,96982079999
883241,Nasdaq:SNPS,66277438500
896878,Nasdaq:INTU,127891530000
898173,Nasdaq:ORLY,55855782000
900075,Nasdaq:CPRT,41847594990
901832,Nasdaq:AZN,229225765600
908937,Nasdaq:SIRI,14583750000
909832,Nasdaq:COST,230682357200
935703,Nasdaq:DLTR,30188994000
937966,Nasdaq:ASML,284201745000
1013462,Nasdaq:ANSS,28711755300
1018724,Nasdaq:AMZN,1293647300000
1035267,Nasdaq:ISRG,115035547000
1045810,Nasdaq:NVDA,1083371840000
1048286,Nasdaq:MAR,53805384000
1057352,Nasdaq:CSGP,34507041900
1058290,Nasdaq:CTSH,32803345600
1060736,Nasdaq:SGEN,37149795420
1065088,Nasdaq:EBAY,24079080000
1065280,Nasdaq:NFLX,193547566800
1075531,Nasdaq:BKNG,99193409650
1091667,Nasdaq:CHTR,49969885900
1093557,Nasdaq:DXCM,50259399000
1097149,Nasdaq:ALGN,13291570350
1097864,Nasdaq:ON,38603222000
1099590,Nasdaq:MELI,60180533735
1103982,Nasdaq:MDLZ,100512720000
1109357,Nasdaq:EXC,40507741178
1110803,Nasdaq:ILMN,31936540000
1166691,Nasdaq:CMCSA,171013120000
1262039,Nasdaq:FTNT,56124112000
1283699,Nasdaq:TMUS,160049205345
1318605,Nasdaq:TSLA,870280950000
1326801,Nasdaq:META,743074509841
1327567,Nasdaq:PANW,73422240000
1327811,Nasdaq:WDAY,57908386800
1397187,Nasdaq:LULU,48691341810
1413447,Nasdaq:NXPI,50753704000
1418135,Nasdaq:KDP,44899966000
1437107,Nasdaq:WBD,29646080000
1442145,Nasdaq:VRSK,34354728662
1463101,Nasdaq:ENPH,23570146000
1535527,Nasdaq:CRWD,36059430300
1539838,Nasdaq:FANG,23107016360
1549802,Nasdaq:JD,59683650000
1559720,Nasdaq:ABNB,80169300000
1561550,Nasdaq:DDOG,30868570480
1585521,Nasdaq:ZM,20844073645
1618921,Nasdaq:WBA,27939614000
1633917,Nasdaq:PYPL,77776810000
1637459,Nasdaq:KHC,44941437200
1650372,Nasdaq:TEAM,45157539750
1652044,Nasdaq:GOOG,1568931800000
1682852,Nasdaq:MRNA,47357631300
1701605,Nasdaq:BKR,30168393600
1709048,Nasdaq:GFS,34148343700
1713683,Nasdaq:ZS,21608325640
1730168,Nasdaq:AVGO,360232450000
1737806,Nasdaq:PDD,98152937599
1811210,Nasdaq:LCID,11576502056
1835632,Nasdaq:MRVL,52113061000
1868275,Nasdaq:CEG,29842613900
1932393,Nasdaq:GEHC,35820600000
