CIK,"('exchange_and_symbol', 'variation_0')",market_cap_at_prediction_date
2488,Nasdaq:AMD,155960910000
4904,Nasdaq:AEP,46966616964
6281,Nasdaq:ADI,94862054260
6951,Nasdaq:AMAT,104813800000
8670,Nasdaq:ADP,89305419000
50863,Nasdaq:INTC,118943640000
72903,Nasdaq:XEL,37131890000
75362,Nasdaq:PCAR,36828225000
77476,Nasdaq:PEP,244719020000
97476,Nasdaq:TXN,162498120000
277948,Nasdaq:CSX,59935720000
318154,Nasdaq:AMGN,125340480000
319201,Nasdaq:KLAC,53759078100
320193,Nasdaq:AAPL,2484898039600
707549,Nasdaq:LRCX,69816679220
712515,Nasdaq:EA,31331520000
718877,Nasdaq:ATVI,62281900000
723125,Nasdaq:MU,62885240000
723254,Nasdaq:CTAS,44936228060
723531,Nasdaq:PAYX,39546850000
745732,Nasdaq:ROST,34702269280
769397,Nasdaq:ADSK,43290720000
773840,Nasdaq:HON,126647301680
789019,Nasdaq:MSFT,2025663430000
796343,Nasdaq:ADBE,166561920000
798354,NYSE:FI,69466789000
804328,Nasdaq:QCOM,135951120000
813672,Nasdaq:CDNS,55805572070
815556,Nasdaq:FAST,30343335000
827054,Nasdaq:MCHP,45193668000
829224,Nasdaq:SBUX,114527950000
858877,Nasdaq:CSCO,209006820000
865752,Nasdaq:MNST,54622620064
872589,Nasdaq:REGN,81315675000
874716,Nasdaq:IDXX,40106713920
875045,Nasdaq:BIIB,38686204000
875320,Nasdaq:VRTX,76949730000
878927,Nasdaq:ODFL,36662629080
882095,Nasdaq:GILD,99166079999
883241,Nasdaq:SNPS,57240291590
896878,Nasdaq:INTU,115727040000
898173,Nasdaq:ORLY,50465150400
900075,Nasdaq:CPRT,33598799280
901832,Nasdaq:AZN,206760519999
908937,Nasdaq:SIRI,14428190000
909832,Nasdaq:COST,217153752060
935703,Nasdaq:DLTR,31489056000
937966,Nasdaq:ASML,254977185000
1013462,Nasdaq:ANSS,27261248000
1018724,Nasdaq:AMZN,998791619999
1035267,Nasdaq:ISRG,84223100000
1045810,Nasdaq:NVDA,639730000000
1048286,Nasdaq:MAR,50477184000
1057352,Nasdaq:CSGP,27003752400
1058290,Nasdaq:CTSH,29878300000
1060736,Nasdaq:SGEN,37294497310
1065088,Nasdaq:EBAY,23112480000
1065280,Nasdaq:NFLX,135857301720
1075531,Nasdaq:BKNG,93816616330
1091667,Nasdaq:CHTR,52814131886
1093557,Nasdaq:DXCM,45325107000
1097149,Nasdaq:ALGN,17649599395
1099590,Nasdaq:MELI,59427360090
1103982,Nasdaq:MDLZ,92925560000
1109357,Nasdaq:EXC,41581584096
1110803,Nasdaq:ILMN,34723660000
1166691,Nasdaq:CMCSA,153297440000
1262039,Nasdaq:FTNT,48198128000
1283699,Nasdaq:TMUS,177587173590
1318605,Nasdaq:TSLA,580169500000
1326801,Nasdaq:META,513316950000
1327567,Nasdaq:PANW,57264689000
1327811,Nasdaq:WDAY,48578694160
1397187,Nasdaq:LULU,37340338700
1413447,Nasdaq:NXPI,46866446800
1418135,Nasdaq:KDP,49526364000
1437107,Nasdaq:WBD,34631680000
1442145,Nasdaq:VRSK,28201983302
1463101,Nasdaq:ENPH,26313999390
1535527,Nasdaq:CRWD,30946870860
1539838,Nasdaq:FANG,22859512680
1549802,Nasdaq:JD,60066757209
1559720,Nasdaq:ABNB,72921494400
1561550,Nasdaq:DDOG,21139926059
1585521,Nasdaq:ZM,20303775399
1618921,Nasdaq:WBA,28629693999
1633917,Nasdaq:PYPL,84484340000
1637459,Nasdaq:KHC,46514440000
1650372,Nasdaq:TEAM,38241242500
1652044,Nasdaq:GOOG,1302767330000
1682852,Nasdaq:MRNA,59644720000
1701605,Nasdaq:BKR,27219500000
1709048,Nasdaq:GFS,37177140000
1713683,Nasdaq:ZS,15240130060
1730168,Nasdaq:AVGO,269070780000
1737806,Nasdaq:PDD,100593244895
1811210,Nasdaq:LCID,14104282569
1835632,Nasdaq:MRVL,34462935000
1868275,Nasdaq:CEG,25220325900
1874178,Nasdaq:RIVN,12108600000
