CIK,"('exchange_and_symbol', 'variation_0')",market_cap_at_prediction_date
2488,Nasdaq:AMD,104167260000
4904,Nasdaq:AEP,48891142681
6281,Nasdaq:ADI,84092429200
6951,Nasdaq:AMAT,83916950000
8670,Nasdaq:ADP,98783286000
50863,Nasdaq:INTC,112906720000
72903,Nasdaq:XEL,38939170000
75362,Nasdaq:PCAR,34275272549
77476,Nasdaq:PEP,246620660000
97476,Nasdaq:TXN,153437190000
277948,Nasdaq:CSX,64624480000
318154,Nasdaq:AMGN,141184260000
319201,Nasdaq:KLAC,52420408950
320193,Nasdaq:AAPL,1994864779440
707549,Nasdaq:LRCX,57462164280
712515,Nasdaq:EA,34502760000
718877,Nasdaq:ATVI,60319400000
723125,Nasdaq:MU,59132200000
723254,Nasdaq:CTAS,45143724620
723531,Nasdaq:PAYX,42203735000
745732,Nasdaq:ROST,40517032440
769397,Nasdaq:ADSK,40599360000
773840,Nasdaq:HON,140093739440
789019,Nasdaq:MSFT,1704733100000
796343,Nasdaq:ADBE,156707190000
798354,NYSE:FI,63981414000
804328,Nasdaq:QCOM,124467480000
813672,Nasdaq:CDNS,42912644230
815556,Nasdaq:FAST,27381837200
827054,Nasdaq:MCHP,38877868000
829224,Nasdaq:SBUX,119815620000
858877,Nasdaq:CSCO,195097650000
865752,Nasdaq:MNST,53368728219
872589,Nasdaq:REGN,77807079000
874716,Nasdaq:IDXX,35058310560
875045,Nasdaq:BIIB,39104964000
875320,Nasdaq:VRTX,73830042000
878927,Nasdaq:ODFL,31754193240
882095,Nasdaq:GILD,106704000000
883241,Nasdaq:SNPS,48910052930
896878,Nasdaq:INTU,110031170000
898173,Nasdaq:ORLY,51125601600
900075,Nasdaq:CPRT,29525784480
901832,Nasdaq:AZN,215311000000
908937,Nasdaq:SIRI,22789540000
909832,Nasdaq:COST,202656483120
935703,Nasdaq:DLTR,31068972000
937966,Nasdaq:ASML,225243467200
1013462,Nasdaq:ANSS,21118774200
1018724,Nasdaq:AMZN,870301080000
1035267,Nasdaq:ISRG,94554000000
1045810,Nasdaq:NVDA,363415360000
1048286,Nasdaq:MAR,46546516000
1057352,Nasdaq:CSGP,31550220000
1058290,Nasdaq:CTSH,29552540000
1060736,Nasdaq:SGEN,25103675900
1065088,Nasdaq:EBAY,23139330000
1065280,Nasdaq:NFLX,137762946040
1075531,Nasdaq:BKNG,79396863240
1091667,Nasdaq:CHTR,53609183334
1093557,Nasdaq:DXCM,44211411000
1097149,Nasdaq:ALGN,17356486200
1099590,Nasdaq:MELI,42087892000
1103982,Nasdaq:MDLZ,91553560000
1109357,Nasdaq:EXC,43480695182
1110803,Nasdaq:ILMN,32012380000
1166691,Nasdaq:CMCSA,153970720000
1262039,Nasdaq:FTNT,37828560000
1283699,Nasdaq:TMUS,170696386345
1318605,Nasdaq:TSLA,359784240000
1326801,Nasdaq:META,330525150000
1327567,Nasdaq:PANW,41880642000
1327811,Nasdaq:WDAY,44058672840
1397187,Nasdaq:LULU,40978232680
1413447,Nasdaq:NXPI,41002624960
1418135,Nasdaq:KDP,50398208000
1437107,Nasdaq:WBD,25244160000
1442145,Nasdaq:VRSK,27403813963
1463101,Nasdaq:ENPH,34396419960
1535527,Nasdaq:CRWD,24528592855
1539838,Nasdaq:FANG,23771272560
1549802,Nasdaq:JD,103876711800
1559720,Nasdaq:ABNB,54641849520
1561550,Nasdaq:DDOG,22017962559
1585521,Nasdaq:ZM,20062317892
1618921,Nasdaq:WBA,32338874000
1633917,Nasdaq:PYPL,89654260000
1637459,Nasdaq:KHC,50560240000
1650372,Nasdaq:TEAM,32462680000
1652044,Nasdaq:GOOG,1133802510000
1682852,Nasdaq:MRNA,68460960000
1701605,Nasdaq:BKR,28168900000
1709048,Nasdaq:GFS,28981717000
1713683,Nasdaq:ZS,16125982490
1730168,Nasdaq:AVGO,234180320000
1737806,Nasdaq:PDD,116081876570
1811210,Nasdaq:LCID,11869578058
1835632,Nasdaq:MRVL,31268601000
1868275,Nasdaq:CEG,27275070000
1874178,Nasdaq:RIVN,16470300000
