CIK,"('exchange_and_symbol', 'variation_0')",market_cap_at_prediction_date
2488,Nasdaq:AMD,166884320000
4904,Nasdaq:AEP,36988917704
6281,Nasdaq:ADI,87718157740
6951,Nasdaq:AMAT,116909380000
8670,Nasdaq:ADP,98668314000
50863,Nasdaq:INTC,148293720000
72903,Nasdaq:XEL,30321530000
75362,Nasdaq:PCAR,44397288000
77476,Nasdaq:PEP,233116259999
97476,Nasdaq:TXN,145234600000
277948,Nasdaq:CSX,61690800000
318154,Nasdaq:AMGN,142475850000
319201,Nasdaq:KLAC,63047809990
320193,Nasdaq:AAPL,2735560136250
707549,Nasdaq:LRCX,84570725760
712515,Nasdaq:EA,32680800000
723125,Nasdaq:MU,74280280000
723254,Nasdaq:CTAS,49405828650
723531,Nasdaq:PAYX,41051824000
745732,Nasdaq:ROST,38488362570
769397,Nasdaq:ADSK,44723860000
773840,Nasdaq:HON,121490433000
789019,Nasdaq:MSFT,2390652200000
796343,Nasdaq:ADBE,237635280000
804328,Nasdaq:QCOM,123876500000
813672,Nasdaq:CDNS,63784663860
815556,Nasdaq:FAST,31330546000
827054,Nasdaq:MCHP,42719487000
829224,Nasdaq:SBUX,104425867000
858877,Nasdaq:CSCO,221421690000
865752,Nasdaq:MNST,55012795100
872589,Nasdaq:REGN,87529210000
874716,Nasdaq:IDXX,35805911700
875045,Nasdaq:BIIB,36588842000
875320,Nasdaq:VRTX,89635791000
878927,Nasdaq:ODFL,44157771990
882095,Nasdaq:GILD,92550900000
883241,Nasdaq:SNPS,70511307860
896878,Nasdaq:INTU,145501800000
898173,Nasdaq:ORLY,54651372540
900075,Nasdaq:CPRT,41594897880
901832,Nasdaq:AZN,206863000000
908937,Nasdaq:SIRI,16640909999
909832,Nasdaq:COST,253590797559
935703,Nasdaq:DLTR,23035666000
937966,Nasdaq:ASML,229262483999
1013462,Nasdaq:ANSS,25783390399
1018724,Nasdaq:AMZN,1331496100000
1035267,Nasdaq:ISRG,103508482000
1045810,Nasdaq:NVDA,1107458860000
1048286,Nasdaq:MAR,58822500000
1057352,Nasdaq:CSGP,30800441130
1058290,Nasdaq:CTSH,34286560000
1060736,Nasdaq:SGEN,39713742660
1065088,Nasdaq:EBAY,23255700000
1065280,Nasdaq:NFLX,168821260730
1075531,Nasdaq:BKNG,113472929280
1091667,Nasdaq:CHTR,65815289380
1093557,Nasdaq:DXCM,36562485000
1097149,Nasdaq:ALGN,22938834240
1097864,Nasdaq:ON,40307829000
1099590,Nasdaq:MELI,63175389634
1103982,Nasdaq:MDLZ,93420360000
1109357,Nasdaq:EXC,36426950000
1110803,Nasdaq:ILMN,21557520000
1166691,Nasdaq:CMCSA,185300850000
1262039,Nasdaq:FTNT,46024550000
1283699,Nasdaq:TMUS,166148166360
1318605,Nasdaq:TSLA,797823600000
1326801,Nasdaq:META,809543521596
1327567,Nasdaq:PANW,71788664000
1327811,Nasdaq:WDAY,55806069060
1397187,Nasdaq:LULU,48611351340
1413447,Nasdaq:NXPI,51881240400
1418135,Nasdaq:KDP,43703363000
1437107,Nasdaq:WBD,25612870000
1442145,Nasdaq:VRSK,34231632656
1463101,Nasdaq:ENPH,15961161880
1535527,Nasdaq:CRWD,40335430940
1539838,Nasdaq:FANG,27092024599
1549802,Nasdaq:JD,45683505000
1559720,Nasdaq:ABNB,86715600000
1561550,Nasdaq:DDOG,29592225600
1585521,Nasdaq:ZM,20969441919
1618921,Nasdaq:WBA,19350702000
1633917,Nasdaq:PYPL,65060160000
1637459,Nasdaq:KHC,40634520000
1650372,Nasdaq:TEAM,50610380220
1652044,Nasdaq:GOOG,1700573769999
1671933,Nasdaq:TTD,38249031610
1682852,Nasdaq:MRNA,39361110000
1701605,Nasdaq:BKR,34560000000
1709048,Nasdaq:GFS,32068946000
1713683,Nasdaq:ZS,23319718379
1730168,Nasdaq:AVGO,344834350000
1737806,Nasdaq:PDD,135511182495
1811210,Nasdaq:LCID,10595027474
1835632,Nasdaq:MRVL,46996531000
1868275,Nasdaq:CEG,33932520000
1932393,Nasdaq:GEHC,30867200000
