CIK,"('exchange_and_symbol', 'variation_0')",market_cap_at_prediction_date
2488,Nasdaq:AMD,108543740000
4127,Nasdaq:SWKS,31883600000
4904,Nasdaq:AEP,42464517369
6281,Nasdaq:ADI,60797426200
6951,Nasdaq:AMAT,125304000000
8670,Nasdaq:ADP,86163658000
50863,Nasdaq:INTC,228350030000
72903,Nasdaq:XEL,36145340000
75362,Nasdaq:PCAR,30658587390
77476,Nasdaq:PEP,214541680000
97476,Nasdaq:TXN,179283520000
277948,Nasdaq:CSX,70622090000
318154,Nasdaq:AMGN,138829950000
319201,Nasdaq:KLAC,48270330400
320193,Nasdaq:AAPL,2428364948800
707549,Nasdaq:LRCX,90325726750
712515,Nasdaq:EA,40105200000
718877,Nasdaq:ATVI,70930260000
723125,Nasdaq:MU,86452800000
723254,Nasdaq:CTAS,40508167200
723531,Nasdaq:PAYX,40111539000
743316,NASDAQ:MXIM,27158597720
743988,NASDAQ:XLNX,32966658660
745732,Nasdaq:ROST,43443733200
769397,Nasdaq:ADSK,66331243999
789019,Nasdaq:MSFT,2114158199999
796343,Nasdaq:ADBE,292048020000
798354,NYSE:FI,72780456000
804328,Nasdaq:QCOM,160794270000
804753,NASDAQ:CERN,23754416710
813672,Nasdaq:CDNS,38454787440
815556,Nasdaq:FAST,31188000000
827054,Nasdaq:MCHP,38772929000
829224,Nasdaq:SBUX,140631257000
858877,Nasdaq:CSCO,227481360000
865752,Nasdaq:MNST,49381868892
872589,Nasdaq:REGN,61991065167
874716,Nasdaq:IDXX,57075822730
875045,Nasdaq:BIIB,47798080000
875320,Nasdaq:VRTX,50613322520
879169,Nasdaq:INCY,17477673300
882095,Nasdaq:GILD,85786140000
883241,Nasdaq:SNPS,42491149500
891103,NASDAQ:MTCH,44229713500
896878,Nasdaq:INTU,138901500000
898173,Nasdaq:ORLY,41465989120
899866,NASDAQ:ALXN,40335968960
900075,Nasdaq:CPRT,34176447600
908937,Nasdaq:SIRI,26488200000
909832,Nasdaq:COST,183886365890
935703,Nasdaq:DLTR,22651974000
937966,Nasdaq:ASML,294095900000
1013462,Nasdaq:ANSS,30915756820
1014473,Nasdaq:VRSN,25697236320
1015922,Nasdaq:CHKP,16338972000
1018724,Nasdaq:AMZN,1817696400000
1035267,Nasdaq:ISRG,112384863685
1045810,Nasdaq:NVDA,483891300000
1048286,Nasdaq:MAR,45939828000
1058290,Nasdaq:CTSH,35568750000
1060736,Nasdaq:SGEN,26178710800
1065088,Nasdaq:EBAY,26950080000
1065280,Nasdaq:NFLX,227424064140
1075531,Nasdaq:BKNG,90104424040
1091667,Nasdaq:CHTR,130698684722
1093557,Nasdaq:DXCM,43312362000
1097149,Nasdaq:ALGN,48892863600
1099590,Nasdaq:MELI,76884024866
1103982,Nasdaq:MDLZ,89563980000
1109357,Nasdaq:EXC,44877360000
1110646,Nasdaq:NTES,75191766336
1110803,Nasdaq:ILMN,73089200000
1166691,Nasdaq:CMCSA,265232280000
1261333,Nasdaq:DOCU,59349548760
1269238,Nasdaq:TCOM,18774853440
1283699,Nasdaq:TMUS,180450787675
1318605,Nasdaq:TSLA,653760990000
1326801,Nasdaq:META,988583422323
1327811,Nasdaq:WDAY,58627920000
1329099,Nasdaq:BIDU,62682097500
1353283,Nasdaq:SPLK,22478666900
1397187,Nasdaq:LULU,49873285340
1402057,Nasdaq:CDW,24336425000
1413447,Nasdaq:NXPI,53569800200
1418135,Nasdaq:KDP,50324800000
1442145,Nasdaq:VRSK,30190067278
1549802,Nasdaq:JD,116877346800
1585521,Nasdaq:ZM,104377702894
1618921,Nasdaq:WBA,40360216000
1633917,Nasdaq:PYPL,354277980000
1637459,Nasdaq:KHC,48228250000
1639825,Nasdaq:PTON,38075845157
1650372,Nasdaq:TEAM,67778698100
1652044,Nasdaq:GOOG,1765589421460
1660134,Nasdaq:OKTA,37423018250
1682852,Nasdaq:MRNA,129728440000
1730168,Nasdaq:AVGO,196523032600
1737806,Nasdaq:PDD,131203015320
1754301,Nasdaq:FOX,19582640000
1835632,Nasdaq:MRVL,47892546460
