CIK,"('exchange_and_symbol', 'variation_0')",market_cap_at_prediction_date
2488,Nasdaq:AMD,121210720000
4127,Nasdaq:SWKS,26364819000
4904,Nasdaq:AEP,41622444787
6281,Nasdaq:ADI,79394249700
6951,Nasdaq:AMAT,113932000000
8670,Nasdaq:ADP,83947406000
50863,Nasdaq:INTC,217569430000
72903,Nasdaq:XEL,34569900000
75362,Nasdaq:PCAR,27404065605
77476,Nasdaq:PEP,207726599999
97476,Nasdaq:TXN,175929600000
277948,Nasdaq:CSX,68647500000
318154,Nasdaq:AMGN,118829280000
319201,Nasdaq:KLAC,49772166570
320193,Nasdaq:AAPL,2280744477360
707549,Nasdaq:LRCX,77366188200
712515,Nasdaq:EA,40514280000
718877,Nasdaq:ATVI,60123220000
723125,Nasdaq:MU,79023780000
723254,Nasdaq:CTAS,40017720600
723531,Nasdaq:PAYX,41484107000
743988,NASDAQ:XLNX,36630213360
745732,Nasdaq:ROST,38691534910
769397,Nasdaq:ADSK,60044600000
773840,Nasdaq:HON,147440743000
789019,Nasdaq:MSFT,2124740550000
796343,Nasdaq:ADBE,265841240000
798354,NYSE:FI,70369000000
804328,Nasdaq:QCOM,142388320000
804753,NASDAQ:CERN,20747180217
813672,Nasdaq:CDNS,40492267200
815556,Nasdaq:FAST,29512890000
827054,Nasdaq:MCHP,40679719000
829224,Nasdaq:SBUX,128357336000
858877,Nasdaq:CSCO,228742140000
865752,Nasdaq:MNST,46833580500
872589,Nasdaq:REGN,58985605110
874716,Nasdaq:IDXX,52100509320
875045,Nasdaq:BIIB,40885208000
875320,Nasdaq:VRTX,45166040000
879169,Nasdaq:INCY,14655658879
882095,Nasdaq:GILD,84855360000
883241,Nasdaq:SNPS,44167896500
891103,NASDAQ:MTCH,41979360600
896878,Nasdaq:INTU,143420550000
898173,Nasdaq:ORLY,41261576760
900075,Nasdaq:CPRT,32376376760
908937,Nasdaq:SIRI,24859440000
909832,Nasdaq:COST,195147952780
935703,Nasdaq:DLTR,22123413000
937966,Nasdaq:ASML,288241642000
1013462,Nasdaq:ANSS,29177629000
1014473,Nasdaq:VRSN,22999200000
1015922,Nasdaq:CHKP,14805989000
1018724,Nasdaq:AMZN,1614038800000
1035267,Nasdaq:ISRG,115651250000
1045810,Nasdaq:NVDA,493102680000
1048286,Nasdaq:MAR,50823863999
1058290,Nasdaq:CTSH,39028500000
1060736,Nasdaq:SGEN,31527072640
1065088,Nasdaq:EBAY,26950080000
1065280,Nasdaq:NFLX,267562797700
1075531,Nasdaq:BKNG,101017405440
1091667,Nasdaq:CHTR,136091659694
1093557,Nasdaq:DXCM,50918941749
1097149,Nasdaq:ALGN,50538446800
1099590,Nasdaq:MELI,79323717100
1103982,Nasdaq:MDLZ,81472210000
1109357,Nasdaq:EXC,47334650000
1110646,Nasdaq:NTES,53903093616
1110803,Nasdaq:ILMN,59641160000
1166691,Nasdaq:CMCSA,257396817853
1261333,Nasdaq:DOCU,48721492290
1269238,Nasdaq:TCOM,19599655970
1283699,Nasdaq:TMUS,156733702256
1318605,Nasdaq:TSLA,793252950000
1326801,Nasdaq:META,912490644369
1327811,Nasdaq:WDAY,62037490240
1329099,Nasdaq:BIDU,50870524999
1353283,Nasdaq:SPLK,22473136560
1397187,Nasdaq:LULU,50910047880
1402057,Nasdaq:CDW,24749075000
1413447,Nasdaq:NXPI,51146308650
1418135,Nasdaq:KDP,46396960000
1442145,Nasdaq:VRSK,32175696885
1535527,Nasdaq:CRWD,54534631840
1549802,Nasdaq:JD,107957329370
1585521,Nasdaq:ZM,77192605355
1618921,Nasdaq:WBA,40424202000
1633917,Nasdaq:PYPL,299381740000
1637459,Nasdaq:KHC,45153360000
1639825,Nasdaq:PTON,26114032957
1650372,Nasdaq:TEAM,96810321600
1652044,Nasdaq:GOOG,1772755259855
1660134,Nasdaq:OKTA,34588949760
1682852,Nasdaq:MRNA,131965199999
1730168,Nasdaq:AVGO,196582853119
1737806,Nasdaq:PDD,107020919610
1754301,Nasdaq:FOX,21764250000
1835632,Nasdaq:MRVL,47721089650
