CIK,"('exchange_and_symbol', 'variation_0')",market_cap_at_prediction_date
2488,Nasdaq:AMD,97403900000
4127,Nasdaq:SWKS,29670300000
4904,Nasdaq:AEP,41569013645
6281,Nasdaq:ADI,56983153500
6951,Nasdaq:AMAT,109544940000
8670,Nasdaq:ADP,78513262000
50863,Nasdaq:INTC,266195279999
72903,Nasdaq:XEL,34297500000
75362,Nasdaq:PCAR,32528425380
77476,Nasdaq:PEP,190439600000
97476,Nasdaq:TXN,166052200000
277948,Nasdaq:CSX,71335320000
318154,Nasdaq:AMGN,144071130000
319201,Nasdaq:KLAC,46964673360
320193,Nasdaq:AAPL,2067211403640
707549,Nasdaq:LRCX,79902840280
712515,Nasdaq:EA,37977490000
718877,Nasdaq:ATVI,71199250000
723125,Nasdaq:MU,102324880000
723254,Nasdaq:CTAS,35272272420
723531,Nasdaq:PAYX,34759142000
743316,NASDAQ:MXIM,24435500218
743988,NASDAQ:XLNX,30816920958
745732,Nasdaq:ROST,42591532080
769397,Nasdaq:ADSK,58404815999
789019,Nasdaq:MSFT,1779128610000
796343,Nasdaq:ADBE,216251980000
798354,NYSE:FI,81375306000
804328,Nasdaq:QCOM,151923970000
804753,NASDAQ:CERN,22005475536
813672,Nasdaq:CDNS,35066467370
815556,Nasdaq:FAST,27554914000
827054,Nasdaq:MCHP,41998032000
829224,Nasdaq:SBUX,126663674999
858877,Nasdaq:CSCO,212215700000
865752,Nasdaq:MNST,47035766862
872589,Nasdaq:REGN,50931388966
874716,Nasdaq:IDXX,42026876100
875045,Nasdaq:BIIB,41368446000
875320,Nasdaq:VRTX,56755124580
879169,Nasdaq:INCY,17951147670
882095,Nasdaq:GILD,82305680000
883241,Nasdaq:SNPS,35750106140
891103,NASDAQ:MTCH,41611043610
896878,Nasdaq:INTU,104564460000
898173,Nasdaq:ORLY,34546791720
899866,NASDAQ:ALXN,34015275000
900075,Nasdaq:CPRT,25953916840
908937,Nasdaq:SIRI,26104470000
909832,Nasdaq:COST,148193453070
935703,Nasdaq:DLTR,25710300000
937966,Nasdaq:ASML,239208647000
1013462,Nasdaq:ANSS,29068526880
1014473,Nasdaq:VRSN,21998322950
1015922,Nasdaq:CHKP,15939200000
1018724,Nasdaq:AMZN,1567843200000
1035267,Nasdaq:ISRG,84409601190
1045810,Nasdaq:NVDA,327540240000
1048286,Nasdaq:MAR,49495050000
1058290,Nasdaq:CTSH,40666900000
1060736,Nasdaq:SGEN,26833749500
1065088,Nasdaq:EBAY,26950077369
1065280,Nasdaq:NFLX,231854906640
1075531,Nasdaq:BKNG,91447228970
1091667,Nasdaq:CHTR,122043353548
1093557,Nasdaq:DXCM,34650666000
1097149,Nasdaq:ALGN,41917400000
1099590,Nasdaq:MELI,73610099938
1103982,Nasdaq:MDLZ,83075020000
1109357,Nasdaq:EXC,41805830000
1110646,Nasdaq:NTES,73732231656
1110803,Nasdaq:ILMN,62768320000
1166691,Nasdaq:CMCSA,258794670000
1261333,Nasdaq:DOCU,40312361060
1269238,Nasdaq:TCOM,24915433798
1283699,Nasdaq:TMUS,156820310478
1318605,Nasdaq:TSLA,643860390000
1326801,Nasdaq:META,844772539135
1327811,Nasdaq:WDAY,62706732529
1329099,Nasdaq:BIDU,89552745000
1353283,Nasdaq:SPLK,23034567729
1397187,Nasdaq:LULU,40880268800
1402057,Nasdaq:CDW,22477230000
1413447,Nasdaq:NXPI,55616210400
1418135,Nasdaq:KDP,48730136000
1442145,Nasdaq:VRSK,28433043322
1549802,Nasdaq:JD,264031189620
1585521,Nasdaq:ZM,96511584573
1618921,Nasdaq:WBA,45924217000
1633917,Nasdaq:PYPL,286663605000
1637459,Nasdaq:KHC,48369650000
1639825,Nasdaq:PTON,32385153100
1650372,Nasdaq:TEAM,55496865460
1652044,Nasdaq:GOOG,1372425674406
1660134,Nasdaq:OKTA,29320382500
1682852,Nasdaq:MRNA,58240000000
1730168,Nasdaq:AVGO,194876707665
1737806,Nasdaq:PDD,170872784875
1754301,Nasdaq:FOX,24401950000
1835632,Nasdaq:MRVL,33053329260
