CIK,"('exchange_and_symbol', 'variation_0')",market_cap_at_prediction_date
2488,Nasdaq:AMD,178837540000
4127,Nasdaq:SWKS,21605652000
4904,Nasdaq:AEP,51696198330
6281,Nasdaq:ADI,85929865000
6951,Nasdaq:AMAT,113648320000
8670,Nasdaq:ADP,97811362000
50863,Nasdaq:INTC,201720000000
72903,Nasdaq:XEL,39694200000
75362,Nasdaq:PCAR,29443284000
77476,Nasdaq:PEP,234000240000
97476,Nasdaq:TXN,168093200000
277948,Nasdaq:CSX,76846380000
318154,Nasdaq:AMGN,131005450000
319201,Nasdaq:KLAC,54403783950
320193,Nasdaq:AAPL,2884115905800
707549,Nasdaq:LRCX,73902151150
712515,Nasdaq:EA,35717580000
718877,Nasdaq:ATVI,63130860000
723125,Nasdaq:MU,86369040000
723254,Nasdaq:CTAS,43941397500
723531,Nasdaq:PAYX,50263048000
745732,Nasdaq:ROST,32334928010
769397,Nasdaq:ADSK,47473090000
773840,Nasdaq:HON,133131530000
789019,Nasdaq:MSFT,2361015120000
796343,Nasdaq:ADBE,221278320000
798354,NYSE:FI,66571736000
804328,Nasdaq:QCOM,172574820000
813672,Nasdaq:CDNS,45373707200
815556,Nasdaq:FAST,34616325000
827054,Nasdaq:MCHP,41191644000
829224,Nasdaq:SBUX,101039230000
858877,Nasdaq:CSCO,231972240000
865752,Nasdaq:MNST,43663763142
872589,Nasdaq:REGN,75358440396
874716,Nasdaq:IDXX,45995969760
875045,Nasdaq:BIIB,30878275999
875320,Nasdaq:VRTX,68744976000
878927,Nasdaq:ODFL,31403169089
882095,Nasdaq:GILD,76201520000
883241,Nasdaq:SNPS,52073563500
891103,NASDAQ:MTCH,32316180840
896878,Nasdaq:INTU,142593300000
898173,Nasdaq:ORLY,44724924600
900075,Nasdaq:CPRT,30303262950
901832,Nasdaq:AZN,206543660000
908937,Nasdaq:SIRI,26278320000
909832,Nasdaq:COST,255185181000
935703,Nasdaq:DLTR,35320281000
937966,Nasdaq:ASML,271174589000
1013462,Nasdaq:ANSS,28119593210
1014473,Nasdaq:VRSN,24648640000
1018724,Nasdaq:AMZN,1712961250000
1035267,Nasdaq:ISRG,108235725000
1045810,Nasdaq:NVDA,685641600000
1048286,Nasdaq:MAR,57320130000
1058290,Nasdaq:CTSH,46810400000
1060736,Nasdaq:SGEN,27605176950
1065088,Nasdaq:EBAY,26950078464
1065280,Nasdaq:NFLX,174044065500
1075531,Nasdaq:BKNG,96214784639
1091667,Nasdaq:CHTR,92195885878
1093557,Nasdaq:DXCM,51240875000
1097149,Nasdaq:ALGN,19970874000
1099590,Nasdaq:MELI,63711632830
1103982,Nasdaq:MDLZ,87121280000
1109357,Nasdaq:EXC,46440540000
1110646,Nasdaq:NTES,64229867729
1110803,Nasdaq:ILMN,57391350000
1166691,Nasdaq:CMCSA,214426270000
1261333,Nasdaq:DOCU,22418498480
1262039,Nasdaq:FTNT,55151445199
1283699,Nasdaq:TMUS,166258974613
1318605,Nasdaq:TSLA,1187842020000
1326801,Nasdaq:META,635781475392
1327567,Nasdaq:PANW,62119099890
1327811,Nasdaq:WDAY,61173549000
1329099,Nasdaq:BIDU,53445500000
1353283,Nasdaq:SPLK,23587470290
1397187,Nasdaq:LULU,49204621860
1413447,Nasdaq:NXPI,47949551190
1418135,Nasdaq:KDP,54375300000
1442145,Nasdaq:VRSK,34281668213
1535527,Nasdaq:CRWD,52946926370
1549802,Nasdaq:JD,98795255000
1559720,Nasdaq:ABNB,113010807140
1561550,Nasdaq:DDOG,49284305200
1585521,Nasdaq:ZM,37178002209
1618921,Nasdaq:WBA,37497600000
1633917,Nasdaq:PYPL,141113880000
1637459,Nasdaq:KHC,48865250000
1650372,Nasdaq:TEAM,80716600760
1652044,Nasdaq:GOOG,1886423271087
1660134,Nasdaq:OKTA,25005467499
1682852,Nasdaq:MRNA,68325840000
1713683,Nasdaq:ZS,35653900420
1730168,Nasdaq:AVGO,259667964597
1737806,Nasdaq:PDD,62147789525
1811210,Nasdaq:LCID,42083149125
1835632,Nasdaq:MRVL,61870079999
1868275,Nasdaq:CEG,19072681800
